memo,amount,tax,category
noodles (#sale $4),11.49,no,g
lemons,6.99,no,g
chicken broth (#sale $2),4.69,no,g
poke bowl,19.56,no,g
sushi platter,8.99,no,g
organic blueberries,10.99,no,g
organic blueberries,10.99,no,g
craberry juice,6.79,no,g
greek yogurt,5.99,no,g
rotisserie chicken,4.83,yes,g
